question_id,subject,topic,question_text,correct_answer,ai_full_text,teacher_full_text,review_status,reviewer,reviewed_at,note
115-session1-molecular-microscopy-parasitology-seq07-q01,醫學分子檢驗學與臨床鏡檢學（包括寄生蟲學）,待分類,有關光學顯微鏡的物鏡標示為Apo 40X/0.95，160/-，下列何者正確？,D,,,unreviewed,,,
115-session1-molecular-microscopy-parasitology-seq07-q02,醫學分子檢驗學與臨床鏡檢學（包括寄生蟲學）,待分類,有關使用浸油技術目的之敘述，下列何者錯誤？,A,,,unreviewed,,,
115-session1-molecular-microscopy-parasitology-seq07-q03,醫學分子檢驗學與臨床鏡檢學（包括寄生蟲學）,待分類,集尿小管再吸收水分受何種激素所調控？,A,,,unreviewed,,,
115-session1-molecular-microscopy-parasitology-seq07-q04,醫學分子檢驗學與臨床鏡檢學（包括寄生蟲學）,尿液檢查,尿液試紙法檢測阻塞性黃疸尿液，最可能呈現下列何種結果？,C,,,unreviewed,,,
115-session1-molecular-microscopy-parasitology-seq07-q05,醫學分子檢驗學與臨床鏡檢學（包括寄生蟲學）,尿液檢查,下列何者是決定尿液培養必要性最有效的評估項目？①Ketones ②Leukocyte esterase ③pH ④Nitrite,D,,,unreviewed,,,
115-session1-molecular-microscopy-parasitology-seq07-q06,醫學分子檢驗學與臨床鏡檢學（包括寄生蟲學）,待分類,使用Clinitest 檢測尿糖，其反應原理對下列何種糖類具有專一性？,D,,,unreviewed,,,
115-session1-molecular-microscopy-parasitology-seq07-q07,醫學分子檢驗學與臨床鏡檢學（包括寄生蟲學）,待分類,請依據下圖所示，回答下列3 題。圖中鏡檢尿沉渣結果，箭頭所指是何種細胞？,C,,,unreviewed,,,
115-session1-molecular-microscopy-parasitology-seq07-q08,醫學分子檢驗學與臨床鏡檢學（包括寄生蟲學）,待分類,此尿液檢體在臨床上最可能出現於下列何種病人？,B,,,unreviewed,,,
115-session1-molecular-microscopy-parasitology-seq07-q09,醫學分子檢驗學與臨床鏡檢學（包括寄生蟲學）,尿液檢查,此尿液檢體在尿試紙檢驗結果中，下列何者最有可能陽性？,C,,,unreviewed,,,
115-session1-molecular-microscopy-parasitology-seq07-q10,醫學分子檢驗學與臨床鏡檢學（包括寄生蟲學）,待分類,當病人有劇烈背痛及腹部痛，且醫生懷疑其有腎臟結石，通常會檢測尿液何種試驗？,B,,,unreviewed,,,
115-session1-molecular-microscopy-parasitology-seq07-q11,醫學分子檢驗學與臨床鏡檢學（包括寄生蟲學）,待分類,尿素主要在下列何種器官形成？,B,,,unreviewed,,,
115-session1-molecular-microscopy-parasitology-seq07-q12,醫學分子檢驗學與臨床鏡檢學（包括寄生蟲學）,待分類,尿液出現輕鏈免疫球蛋白時，與下列何種形式蛋白尿最有關？,D,,,unreviewed,,,
115-session1-molecular-microscopy-parasitology-seq07-q13,醫學分子檢驗學與臨床鏡檢學（包括寄生蟲學）,待分類,下列何者與紅色的糞便較沒有相關性？,B,,,unreviewed,,,
115-session1-molecular-microscopy-parasitology-seq07-q14,醫學分子檢驗學與臨床鏡檢學（包括寄生蟲學）,待分類,糞便呈現細長如帶狀（ribbon-like）的外觀時與下列何種疾病比較有相關性？,A,,,unreviewed,,,
115-session1-molecular-microscopy-parasitology-seq07-q15,醫學分子檢驗學與臨床鏡檢學（包括寄生蟲學）,待分類,糞便潛血試驗中的HemoQuant 試驗，是使用螢光比色計測定下列何種物質？,A,,,unreviewed,,,
115-session1-molecular-microscopy-parasitology-seq07-q16,醫學分子檢驗學與臨床鏡檢學（包括寄生蟲學）,待分類,有關痰液之敘述，下列何者錯誤？,B,,,unreviewed,,,
115-session1-molecular-microscopy-parasitology-seq07-q17,醫學分子檢驗學與臨床鏡檢學（包括寄生蟲學）,待分類,關於痰液檢驗的敘述，下列何者錯誤？,C,,,unreviewed,,,
115-session1-molecular-microscopy-parasitology-seq07-q18,醫學分子檢驗學與臨床鏡檢學（包括寄生蟲學）,體液檢查,有關腦脊髓液（CSF）的顯微鏡檢查，下列敘述何者錯誤？,D,,,unreviewed,,,
115-session1-molecular-microscopy-parasitology-seq07-q19,醫學分子檢驗學與臨床鏡檢學（包括寄生蟲學）,待分類,腦脊髓液的白血球計數，下列何者為最適合之稀釋液？,B,,,unreviewed,,,
115-session1-molecular-microscopy-parasitology-seq07-q20,醫學分子檢驗學與臨床鏡檢學（包括寄生蟲學）,待分類,下列何種腦膜炎可用印度墨水染色（India ink stain）檢驗？,D,,,unreviewed,,,
115-session1-molecular-microscopy-parasitology-seq07-q21,醫學分子檢驗學與臨床鏡檢學（包括寄生蟲學）,待分類,下列何者為漿膜液抹片中，常用於細胞學觀察的染色法？,D,,,unreviewed,,,
115-session1-molecular-microscopy-parasitology-seq07-q22,醫學分子檢驗學與臨床鏡檢學（包括寄生蟲學）,待分類,關於體液乳酸測定之敘述，下列何者正確？,C,,,unreviewed,,,
115-session1-molecular-microscopy-parasitology-seq07-q23,醫學分子檢驗學與臨床鏡檢學（包括寄生蟲學）,待分類,關於胸膜液血清免疫學檢查之敘述，下列何者錯誤？,C,,,unreviewed,,,
115-session1-molecular-microscopy-parasitology-seq07-q24,醫學分子檢驗學與臨床鏡檢學（包括寄生蟲學）,待分類,關於區分濾出液（transudates）與滲出液（exudates）之敘述，下列何者錯誤？,C,,,unreviewed,,,
115-session1-molecular-microscopy-parasitology-seq07-q25,醫學分子檢驗學與臨床鏡檢學（包括寄生蟲學）,待分類,"滑膜液進行結晶體分析時，為避免外源性結晶體的干擾，下列何者是正確的檢體處置方式？①使用液態EDTA
抗凝劑 ②使用鈉－肝素（sodium heparin）抗凝劑 ③使用粉狀的抗凝劑 ④冷藏保存",A,,,unreviewed,,,
115-session1-molecular-microscopy-parasitology-seq07-q26,醫學分子檢驗學與臨床鏡檢學（包括寄生蟲學）,待分類,關於偏光顯微鏡結構的敘述，下列何者錯誤？,D,,,unreviewed,,,
115-session1-molecular-microscopy-parasitology-seq07-q27,醫學分子檢驗學與臨床鏡檢學（包括寄生蟲學）,待分類,有關精液檢查之敘述，下列何者錯誤？,D,,,unreviewed,,,
115-session1-molecular-microscopy-parasitology-seq07-q28,醫學分子檢驗學與臨床鏡檢學（包括寄生蟲學）,待分類,精液 neutral α-glucosidase 主要由下列何者分泌？,C,,,unreviewed,,,
